aa | 嗷嗷   | 爱爱   | 哎哎   | 暗暗   | 昂昂   | 安安   | 熬熬   | 矮矮   | 哀哀   | 凹凹   | 挨挨   | 按按   | 傲岸   | 唉唉   | 蔼蔼   | 艾艾   | 
apei | 啊呸   | 阿佩   | 安培   | 癌胚   | 暗配   | 錒陪  | 錒陪  | 啊呸  | 按陪  | 按陪  | 爱陪  | 爱陪  | 哎陪  | 哎陪  | 安培  | 阿佩  | 
apen | 阿喷   | 錒喷  | 錒喷  | 啊喷  | 啊喷  | 按喷  | 按喷  | 爱喷  | 爱喷  | 哎喷  | 哎喷  | 安喷  | 安喷  | 阿喷  | 奥喷  | 奥喷  | 
apeng | 阿鹏   | 奥鹏   | 艾蓬   | 安鹏   | 艾鹏   | 爱朋   | 錒碰  | 錒碰  | 啊碰  | 啊碰  | 按碰  | 按碰  | 爱朋  | 哎碰  | 哎碰  | 安鹏  | 
api | 挨批   | 暗批   | API   | 錒屁  | 啊屁  | 啊屁  | API   | 按屁  | 按屁  | 爱屁  | 爱屁  | 哎屁  | 哎屁  | 安屁  | 安屁  | 阿屁  | 
apian | A片   | 阿片   | 挨骗   | 阿屁按  | 阿屁按  | 啊屁按  | 啊屁按  | 錒屁按  | 錒屁按  | 錒片  | 錒片  | 啊片  | 錒片  | 啊片  | 按片  | 按片  | 
apiao | 阿飘   | 暗票   | 阿屁奥  | 阿屁奥  | 啊屁奥  | 啊屁奥  | 錒屁奥  | 錒屁奥  | 錒票  | 錒票  | 啊票  | 啊票  | 按票  | 按票  | 爱票  | 爱票  | 
apie | apiece   | 阿屁额  | 啊屁额  | 啊屁额  | apiece   | 錒屁额  | 錒屁额  | 錒辟额  | 錒辟额  | 啊辟额  | 啊辟额  | 按辟额  | 按辟额  | 爱辟额  | 爱辟额  | 哎辟额  | 
apin | 爱拼   | 安贫   | 安品   | 錒品  | 錒品  | 啊品  | 啊品  | 按品  | 按品  | 爱拼  | 哎品  | 哎品  | 安贫  | 阿品  | 阿品  | 奥品  | 
aping | 阿平   | 阿萍   | A屏   | 安平   | 安瓶   | 安评   | 爱平   | 爱萍   | 昂坪   | 敖平   | 錒ping  | 啊ping  | 按ping  | 爱ping  | 哎ping  | 安ping  | 
apo | 阿婆   | 安珀   | 岸坡   | 錒破  | 錒破  | 啊破  | APO   | 啊破  | 按破  | 按破  | 爱破  | 爱破  | 哎破  | 哎破  | 安珀  | 阿婆  | 
apou | 阿剖   | 錒剖  | 錒剖  | 啊剖  | 啊剖  | 按剖  | 按剖  | 爱剖  | 爱剖  | 哎剖  | 哎剖  | 安剖  | 安剖  | 阿剖  | 奥剖  | 奥剖  | 
apu | 阿噗   | 阿普   | 啊噗   | 奥普   | 安普   | 爱普   | 艾普   | 安谱   | 安铺   | 爱谱   | 安朴   | 錒铺  | APU   | 錒铺  | 啊噗  | 按铺  | 
aqi | 阿奇   | 阿七   | 阿琪   | 阿旗   | 阿齐   | 按期   | 安琪   | 暗器   | 爱妻   | 奥奇   | 傲气   | 氨气   | 爱奇   | 嗳气   | 艾奇   | 安琦   | 
aqia | 奥恰   | 阿恰   | 錒掐  | 錒掐  | 啊掐  | 啊掐  | 按掐  | 按掐  | 爱掐  | 爱掐  | 哎掐  | 哎掐  | 安掐  | 安掐  | 阿恰  | 奥恰  | 
aqian | 阿倩   | 阿前   | 爱钱   | 安茜   | 錒钱  | 錒钱  | 啊钱  | 啊钱  | 按钱  | 按钱  | 爱钱  | 哎钱  | 哎钱  | 安茜  | 阿倩  | 奥钱  | 
aqiang | 阿强   | 暗强   | 爱强   | 矮墙   | 暗枪   | 安强   | 奥强   | 艾强   | 錒强  | 錒强  | 啊强  | 啊强  | 按强  | 按强  | 爱强  | 哎强  | 
aqiao | 阿悄   | 阿巧   | 阿乔   | 安桥   | 岸桥   | 啊掐哦  | 錒掐哦  | 阿恰哦  | 錒桥  | 錒桥  | 啊桥  | 啊桥  | 按桥  | 按桥  | 爱桥  | 爱桥  | 
aqie | 爱妾   | 哀切   | 奥切   | 安切   | 安锲   | 錒切  | 錒切  | 啊切  | 啊切  | 按切  | 按切  | 爱妾  | 哎切  | 哎切  | 安切  | 阿切  | 
aqin | 阿沁   | 阿琴   | 阿钦   | 吖嗪   | 爱琴   | 安寝   | 安亲   | 安琴   | 安沁   | 錒亲  | 錒亲  | 啊亲  | 啊亲  | 按亲  | 按亲  | 爱琴  | 
aqing | 阿青   | 阿清   | 阿庆   | 阿晴   | 爱情   | 安庆   | 案情   | 爱卿   | 艾青   | 爱清   | 安晴   | 安青   | 安清   | 錒请  | 錒请  | 啊请  | 
aqiong | 阿琼   | 錒穷  | 錒穷  | 啊穷  | 啊穷  | 按穷  | 按穷  | 爱穷  | 爱穷  | 哎穷  | 哎穷  | 安穷  | 安穷  | 阿琼  | 奥穷  | 奥穷  | 
aqiu | 阿秋   | 阿丘   | 安丘   | 奥球   | 哀求   | 爱囚   | 挨球   | 錒求  | 錒求  | 啊求  | 啊求  | 按求  | 按求  | 爱囚  | 哎求  | 哎求  | 
aqu | A区   | 阿区   | 俺去   | 爱去   | 奥曲   | 暗区   | 暗渠   | 氨区   | 爱趣   | 錒去  | 錒去  | Aqua   | 啊去  | 啊去  | 按去  | 按去  | 
aquan | 阿全   | 阿权   | 安全   | 爱犬   | 獒犬   | 啊去按  | 啊去按  | 錒去按  | 錒去按  | 錒曲安  | 錒曲安  | 啊曲安  | 啊曲安  | 按曲安  | 按曲安  | 爱曲安  | 
aque | aqueous   | 啊去额  | 錒去额  | 錒去额  | aqueous   | 錒却  | 錒却  | 啊却  | 啊却  | 按却  | 按却  | 爱却  | 爱却  | 哎却  | 哎却  | 安却  | 
aqun | 阿群   | 安群   | 爱群   | 袄裙   | 錒群  | 錒群  | 啊群  | 啊群  | 按群  | 按群  | 爱群  | 哎群  | 哎群  | 安群  | 阿群  | 奥群  | 
aran | Aran   | 阿然   | 安然   | 盎然   | 黯然   | 傲然   | 安冉   | 蔼然   | 昂然   | 岸然   | 錒然  | 啊然  | Aran   | 啊然  | 按然  | 按然  | 
arang | 爱让   | 阿让   | 錒rang  | 啊rang  | 按rang  | 爱rang  | 哎rang  | 安rang  | 阿rang  | 奥rang  | 唉rang  | 昂rang  | 熬rang  | 俺rang  | 暗rang  | 案rang  | 
arao | 啊绕   | 錒绕  | 錒绕  | 啊绕  | 按绕  | 按绕  | 爱绕  | 爱绕  | 哎绕  | 哎绕  | 安绕  | 安绕  | 阿绕  | 阿绕  | 奥绕  | 奥绕  | 
are | are   | 阿热   | 艾热   | 昂热   | 錒re  | 啊re  | 按re  | 爱re  | 哎re  | 安re  | 阿re  | 奥re  | 唉re  | 昂re  | 熬re  | 俺re  | 
aren | arena   | 阿忍   | 爱人   | 安仁   | 矮人   | 傲人   | 熬人   | 按人   | 暗刃   | 昂仁   | 安人   | 安忍   | 錒人  | 啊人  | arena   | 啊人  | 
areng | 矮人国   | 錒扔  | 錒扔  | 啊扔  | 啊扔  | 按扔  | 按扔  | 爱扔  | 爱扔  | 哎扔  | 哎扔  | 安扔  | 安扔  | 阿扔  | 阿扔  | 奥扔  | 
ari | Ari   | 阿日   | 奥日   | 艾日   | 錒日  | 啊日  | Ari   | 啊日  | 按日  | 按日  | 爱日  | 爱日  | 哎日  | 哎日  | 安日  | 安日  | 
arong | 阿荣   | 阿容   | 阿蓉   | 艾绒   | 安荣   | 爱荣   | 哀荣   | 錒荣  | 錒荣  | 啊荣  | 啊荣  | 按荣  | 按荣  | 爱荣  | 哎荣  | 哎荣  | 
arou | around   | 阿柔   | 按揉   | 錒肉  | 啊肉  | around   | 啊肉  | 按揉  | 爱肉  | 爱肉  | 哎肉  | 哎肉  | 安肉  | 安肉  | 阿柔  | 奥肉  | 
aru | 阿如   | 爱如   | 錒如  | 錒如  | 啊如  | 啊如  | 按如  | 按如  | 爱如  | 哎如  | 哎如  | 安如  | 安如  | 阿如  | 奥如  | 奥如  | 
arua | 阿软   | 啊如啊   | 錒如啊  | 錒挼  | 錒挼  | 啊挼  | 啊挼  | 按挼  | 按挼  | 爱挼  | 爱挼  | 哎挼  | 哎挼  | 安挼  | 安挼  | 阿挼  | 
aruan | 阿软   | 啊如按  | 啊如按  | 錒如按  | 錒如按  | 錒如按  | 啊如按  | 按如按  | 按如按  | 爱如按  | 爱如按  | 哎如按  | 哎如按  | 安如按  | 安如按  | 阿如按  | 
arui | 阿瑞   | 阿睿   | 艾瑞   | 安瑞   | 奥瑞   | 艾睿   | 錒瑞  | 錒瑞  | 啊瑞  | 啊瑞  | 按瑞  | 按瑞  | 爱瑞  | 爱瑞  | 哎瑞  | 哎瑞  | 
arun | 安润   | 奥润   | 阿润   | 錒润  | 錒润  | 啊润  | 啊润  | 按润  | 按润  | 爱润  | 爱润  | 哎润  | 哎润  | 安润  | 阿润  | 奥润  | 
aruo | 阿箬   | 安若   | 暗弱   | 啊如哦  | 錒如哦  | 錒若  | 錒若  | 啊若  | 啊若  | 按若  | 按若  | 爱若  | 爱若  | 哎若  | 哎若  | 安若  | 
asa | 阿萨   | 阿Sa   | 艾萨   | 俺仨   | 奥萨   | 錒撒  | 錒撒  | ASA   | 啊撒  | 啊撒  | 按撒  | 按撒  | 爱撒  | 爱撒  | 哎撒  | 哎撒  | 
asai | 奥赛   | 埃塞   | 安塞   | 阿塞   | 錒赛  | 錒赛  | 啊赛  | 啊赛  | 按赛  | 按赛  | 爱赛  | 爱赛  | 哎赛  | 哎赛  | 安塞  | 阿塞  | 
asan | 阿三   | 俺三   | 爱三   | 錒三  | 錒三  | 啊三  | 啊三  | 按三  | 按三  | 爱三  | 哎三  | 哎三  | 安三  | 安三  | 阿三  | 奥三  | 
asang | 阿桑   | 懊丧   | 錒sang  | 啊sang  | 按sang  | 爱sang  | 哎sang  | 安sang  | 阿sang  | 奥sang  | 唉sang  | 昂sang  | 熬sang  | 俺sang  | 暗sang  | 案sang  | 
asao | 阿嫂   | 啊撒哦  | 錒撒哦  | 錒扫  | 錒扫  | 啊扫  | 啊扫  | 按扫  | 按扫  | 爱扫  | 爱扫  | 哎扫  | 哎扫  | 安扫  | 安扫  | 阿嫂  | 
ase | 阿瑟   | 碍事儿   | 安塞尔   | 阿色   | 安思尔   | 阿萨尔   | 阿苏尔   | 奥赛尔   | 暗色   | 爱色   | 錒色  | ASE   | 錒色  | 啊色  | 啊色  | 按色  | 
asen | 阿森   | 奥森   | 艾森   | 爱森   | 安森   | 澳森   | 錒森  | 錒森  | 啊森  | 啊森  | 按森  | 按森  | 爱森  | 哎森  | 哎森  | 安森  | 
aseng | 阿僧   | 錒僧  | 錒僧  | 啊僧  | 啊僧  | 按僧  | 按僧  | 爱僧  | 爱僧  | 哎僧  | 哎僧  | 安僧  | 安僧  | 阿僧  | 奥僧  | 奥僧  | 
asha | 阿莎   | 阿沙   | 暗杀   | 爱莎   | 艾莎   | 奥沙   | 艾沙   | 安厦   | 安沙   | 爱杀   | 安莎   | 暗沙   | 錒啥  | 錒啥  | Asha   | 啊啥  | 
ashai | 爱晒   | 錒晒  | 錒晒  | 啊晒  | 啊晒  | 按晒  | 按晒  | 爱晒  | 哎晒  | 哎晒  | 安晒  | 安晒  | 阿晒  | 阿晒  | 奥晒  | 奥晒  | 
ashan | 阿山   | 阿珊   | 鞍山   | 艾山   | 奥山   | 安山   | 鳌山   | 爱山   | 昂山   | 爱善   | 錒山  | 錒山  | 啊山  | 啊山  | 按山  | 按山  | 
ashang | 爱上   | 岸上   | 爱尚   | 按上   | 安上   | 哀伤   | 熬上   | 艾尚   | 爱殇   | 暗伤   | 阿上   | 錒上  | 錒上  | 啊上  | 啊上  | 按上  | 
ashao | 暗哨   | 安少   | 安绍   | 啊啥哦  | 錒啥哦  | 錒少  | 錒少  | 啊少  | 啊少  | 按少  | 按少  | 爱少  | 爱少  | 哎少  | 哎少  | 安少  | 
ashe | 阿舍   | 安设   | 爱舍   | 暗射   | 錒设  | 錒设  | 啊设  | Asher   | 啊设  | 按设  | 按设  | 爱舍  | 哎设  | 哎设  | 安设  | 阿舍  | 
ashei | 爱谁   | 阿谁   | 錒谁  | 錒谁  | 啊谁  | 啊谁  | 按谁  | 按谁  | 爱谁  | 哎谁  | 哎谁  | 安谁  | 安谁  | 阿谁  | 奥谁  | 奥谁  | 
ashen | ashen   | 阿婶   | 阿神   | 安神   | 爱神   | 安身   | 奥神   | 奥申   | 暗神   | 錒神  | ashen   | 啊神  | 啊神  | 按神  | 按神  | 爱神  | 
asheng | 阿生   | 阿胜   | 阿笙   | 安生   | 安盛   | 爱生   | 唉声   | 奥盛   | 傲胜   | 安胜   | 安省   | 昂生   | 奥圣   | 安笙   | 錒生  | 錒生  | 
ashi | 阿是   | 啊是   | 阿诗   | 阿施   | 阿时   | 按时   | 暗示   | 爱是   | 傲视   | 碍事   | 按实   | 俺是   | 安市   | 安适   | 傲世   | 暗室   | 
ashou | 阿兽   | 昂首   | 案首   | 奥兽   | 碍手   | 錒收  | 錒收  | 啊收  | 啊收  | 按收  | 按收  | 爱收  | 爱收  | 哎收  | 哎收  | 安收  | 
ashu | 阿叔   | 阿树   | 阿数   | 奥数   | 桉树   | 奥术   | 爱书   | 俺叔   | 谙熟   | 矮树   | 錒书  | 錒书  | 啊书  | 啊书  | 按书  | 按书  | 
ashua | 爱耍   | 啊书啊  | 錒书啊  | 錒刷  | 錒刷  | 啊刷  | 啊刷  | 按刷  | 按刷  | 爱耍  | 哎刷  | 哎刷  | 安刷  | 安刷  | 阿刷  | 阿刷  | 
ashuai | 阿衰   | 阿帅   | 安帅   | 奥帅   | 啊书爱  | 啊书爱  | 錒书爱  | 錒书爱  | 錒鼠爱  | 錒鼠爱  | 啊鼠爱  | 啊鼠爱  | 按鼠爱  | 按鼠爱  | 爱鼠爱  | 爱鼠爱  | 
ashuan | 癌栓   | 安栓   | 啊书按  | 啊书按  | 錒书按  | 錒书按  | 錒鼠按  | 錒鼠按  | 啊鼠按  | 啊鼠按  | 按鼠按  | 按鼠按  | 爱鼠按  | 爱鼠按  | 哎鼠按  | 哎鼠按  | 
ashuang | 阿爽   | 阿双   | 暗爽   | 傲霜   | 啊书昂  | 啊书昂  | 錒书昂  | 錒书昂  | 錒输昂  | 錒输昂  | 啊输昂  | 啊输昂  | 按输昂  | 按输昂  | 爱输昂  | 爱输昂  | 
ashui | 阿水   | 氨水   | 爱谁   | 安睡   | 熬水   | 爱睡   | 爱水   | 錒谁  | 錒谁  | 啊谁  | 啊谁  | 按谁  | 按谁  | 爱谁  | 哎谁  | 哎谁  | 
ashun | 安顺   | 阿顺   | 錒顺  | 錒顺  | 啊顺  | 啊顺  | 按顺  | 按顺  | 爱顺  | 爱顺  | 哎顺  | 哎顺  | 安顺  | 阿顺  | 奥顺  | 奥顺  | 
ashuo | 按说   | 爱说   | 挨说   | 安硕   | 俺说   | 錒书哦  | 啊书哦  | 錒说  | 錒说  | 啊说  | 啊说  | 按说  | 爱说  | 哎说  | 哎说  | 安硕  | 
asi | 阿斯   | 阿肆   | 阿四   | 阿巳   | ASI   | 爱思   | 爱死   | 艾斯   | 奥斯   | 盎司   | 熬死   | 哀思   | 安斯   | 艾思   | 艾丝   | 爱四   | 
asong | 阿松   | 爱松   | 奥松   | 暗送   | 錒送  | 錒送  | 啊送  | 啊送  | 按送  | 按送  | 爱松  | 哎送  | 哎送  | 安送  | 安送  | 阿松  | 
asou | 爱搜   | 啊搜   | 錒sou  | 啊sou  | 按sou  | 爱sou  | 哎sou  | 安sou  | 阿sou  | 奥sou  | 唉sou  | 昂sou  | 熬sou  | 俺sou  | 暗sou  | 案sou  | 
asu | 阿苏   | 安苏   | 安素   | 昂素   | 安速   | 錒苏  | 錒苏  | 啊苏  | ASU   | 啊苏  | 按苏  | 按苏  | 爱苏  | 爱苏  | 哎苏  | 哎苏  | 
asuan | 暗算   | 氨酸   | 嗳酸   | 爱算   | 安素安   | 啊苏按  | 啊苏按  | 錒苏按  | 錒苏按  | 錒酥按  | 錒酥按  | 啊酥按  | 啊酥按  | 按酥按  | 按酥按  | 爱酥按  | 
asui | 安穗   | 按碎   | 錒岁  | 錒岁  | 啊岁  | 啊岁  | 按岁  | 按岁  | 爱岁  | 爱岁  | 哎岁  | 哎岁  | 安岁  | 安岁  | 阿岁  | 阿岁  | 
asun | asunder   | 阿苏那   | 錒孙  | 啊孙  | 啊孙  | asunder   | 按孙  | 按孙  | 爱孙  | 爱孙  | 哎孙  | 哎孙  | 安孙  | 安孙  | 阿孙  | 阿孙  | 
asuo | 阿索   | 暗锁   | 埃索   | 安索   | 啊苏哦  | 錒苏哦  | 錒所  | 錒所  | 啊所  | 啊所  | 按所  | 按所  | 爱所  | 爱所  | 哎所  | 哎所  | 
ata | 阿塔   | 埃托奥   | 爱特爱   | 安踏   | 爱他   | 爱她   | 按他   | 按她   | 奥塔   | 暗塔   | 錒他  | 錒他  | 啊他  | ATA   | 啊他  | 按他  | 
atai | 阿泰   | 阿太   | 安泰   | 安胎   | 奥泰   | 艾泰   | 案台   | 奥太   | 安太   | 錒太  | 錒太  | 啊太  | 啊太  | 按太  | 按太  | 爱太  | 
atan | 哀叹   | 安坦   | 艾坦   | 暗探   | 岸滩   | 暗滩   | 按摊   | 爱他呢   | 錒tan  | 傲头傲脑   | 啊tan  | 按tan  | 爱tan  | 哎tan  | 安tan  | 阿tan  | 
atang | 阿汤   | 阿唐   | 熬汤   | 氨糖   | 安堂   | 安塘   | 庵堂   | 錒糖  | 錒糖  | 啊糖  | 啊糖  | 按糖  | 按糖  | 爱糖  | 爱糖  | 哎糖  | 
atao | 阿涛   | 阿桃   | 安涛   | 爱淘   | 爱涛   | 啊他哦  | 錒他哦  | 錒套  | 錒套  | 啊套  | 啊套  | 按套  | 按套  | 爱淘  | 哎套  | 哎套  | 
ate | 阿特   | 安图恩   | 安徒恩   | ate   | 阿泰尔   | 阿图尔   | 熬头儿   | 艾特   | 奥特   | 安特   | 爱特   | 昂特   | 錒特  | 錒特  | 啊特  | 啊特  | 
atei | 阿忒   | 錒忒  | 錒忒  | 啊忒  | 啊忒  | 按忒  | 按忒  | 爱忒  | 爱忒  | 哎忒  | 哎忒  | 安忒  | 安忒  | 阿忒  | 奥忒  | 奥忒  | 
ateng | 安腾   | 傲腾   | 奥腾   | 安藤   | 阿滕   | 錒疼  | 錒疼  | 啊疼  | 啊疼  | 按疼  | 按疼  | 爱疼  | 爱疼  | 哎疼  | 哎疼  | 安腾  | 
ati | 阿嚏   | 奥体   | 安替   | 挨踢   | 安提   | 錒提  | 錒提  | 啊提  | ATI   | 啊提  | 按提  | 按提  | 爱提  | 爱提  | 哎提  | 哎提  | 
atian | 阿天   | 阿田   | 按天   | 傲天   | 安恬   | 昂天   | 奥田   | 安天   | 安田   | 奥天   | 暗天   | 啊提按  | 按提案   | 啊提按  | 錒提按  | 錒提按  | 
atiao | 艾条   | 安调   | 啊跳   | 啊提奥  | 啊提奥  | 錒提奥  | 錒提奥  | 錒条  | 錒条  | 啊跳  | 按条  | 按条  | 爱条  | 爱条  | 哎条  | 哎条  | 
atie | 阿铁   | 艾贴   | 安帖   | 啊提额  | 啊提额  | 錒提额  | 錒提额  | 錒提额  | 啊提额  | 按踢额  | 按踢额  | 爱踢额  | 爱踢额  | 哎踢额  | 哎踢额  | 安踢额  | 
ating | 阿婷   | 爱听   | 安亭   | 安婷   | 奥亭   | 暗厅   | 艾亭   | 錒听  | 錒听  | 啊听  | 啊听  | 按听  | 按听  | 爱听  | 哎听  | 哎听  | 
atong | 阿瞳   | 安通   | 奥通   | 哀痛   | 癌痛   | 澳通   | 安彤   | 安童   | 哀恸   | 錒同  | 錒同  | 啊同  | 啊同  | 按同  | 按同  | 爱同  | 
atou | 鳌头   | 案头   | 爱投   | 澳头   | 昂头   | 安头   | 錒头  | 錒头  | 啊头  | 啊头  | 按头  | 按头  | 爱投  | 哎头  | 哎头  | 安头  | 
atu | 阿土   | 凹凸   | 按图   | 爱徒   | 安途   | 安土   | 錒图  | 錒图  | 啊图  | 啊图  | 按图  | 爱徒  | 哎图  | 哎图  | 安途  | 阿土  | 
atuan | 爱团   | 安团   | 按图案   | 奥图案   | 啊图按  | 啊图按  | 錒图按  | 錒图按  | 錒图安  | 錒图安  | 啊图安  | 啊图安  | 按图安  | 按图安  | 爱团  | 哎图安  | 
atui | 爱退   | 錒退  | 錒退  | 啊退  | 啊退  | 按退  | 按退  | 爱退  | 哎退  | 哎退  | 安退  | 安退  | 阿退  | 阿退  | 奥退  | 奥退  | 
atun | 安屯   | 奥屯   | 安暾   | 錒tun  | 啊tun  | 按tun  | 爱tun  | 哎tun  | 安tun  | 阿tun  | 奥tun  | 唉tun  | 昂tun  | 熬tun  | 俺tun  | 暗tun  | 
atuo | 阿托   | 奥拓   | 安妥   | 奥托   | 安托   | 安拓   | 啊图哦  | 錒图哦  | 錒拖  | 錒拖  | 啊拖  | 啊拖  | 按拖  | 按拖  | 爱拖  | 爱拖  | 
awa | 阿瓦   | 埃维昂   | 爱喔爱   | 爱娃   | 奥瓦   | 艾娃   | 哎哇   | 錒哇  | 錒哇  | 啊哇  | away   | 啊哇  | 按哇  | 按哇  | 爱娃  | 哎哇  | 
awai | 阿歪   | 安外   | 錒外  | 錒外  | 啊外  | await   | 啊外  | 按外  | 按外  | 爱外  | 爱外  | 哎外  | 哎外  | 安外  | 阿歪  | 奥外  | 
awan | 阿万   | 爱玩   | 按完   | 熬完   | 安完   | 哀婉   | 錒玩  | 錒玩  | 啊玩  | 啊玩  | 按完  | 爱玩  | 哎玩  | 哎玩  | 安完  | 阿万  | 
awang | 阿旺   | 阿王   | 阿汪   | 暗网   | 澳网   | 爱网   | 奥王   | 錒网  | 錒网  | 啊网  | 啊网  | 按网  | 按网  | 爱网  | 哎网  | 哎网  | 
awei | awei   | 阿伟   | 阿威   | (ﾉ"◑ ◑)ﾉ"(｡•́︿•̀｡)   | 阿维   | 阿薇   | 阿魏   | 阿玮   | 安慰   | 安危   | 奥威   | 奥维   | 安委   | 爱卫   | 艾维   | 安伟   | 
awen | 阿文   | 阿雯   | 阿温   | 安稳   | 爱问   | 暗纹   | 艾文   | 奥文   | 安文   | 爱文   | 埃文   | 安雯   | 艾雯   | 錒问  | 錒问  | 啊问  | 
aweng | 艾翁   | 阿翁   | 錒翁  | 錒翁  | 啊翁  | 啊翁  | 按翁  | 按翁  | 爱翁  | 爱翁  | 哎翁  | 哎翁  | 安翁  | 安翁  | 阿翁  | 奥翁  | 
awo | 啊我   | 爱唯欧   | 爱我   | 按我   | 挨我   | 安沃   | 錒我  | 錒我  | 啊我  | awoke   | 按我  | 爱我  | 哎我  | 哎我  | 安沃  | 阿我  | 
awong | 按我那个   | 阿我那个  | 阿我那个  | 錒我那个  | 錒我那个  | 啊我那个  | 啊我那个  | 爱我那个  | 爱我那个  | 按我那个  | 挨我那个  | 挨我那个  | 安沃那个  | 安沃那个  | 錒我弄个  | 錒我弄个  | 
awu | 啊呜   | 阿武   | 阿五   | 嗷呜   | 爱物   | 暗巫   | 爱五   | 傲物   | 錒无  | 錒无  | 啊呜  | 按无  | 按无  | 爱物  | 哎无  | 哎无  | 
axi | 阿西   | 阿喜   | 阿希   | 阿细   | axis   | 爱惜   | 安息   | 艾希   | 安溪   | 奥西   | 爱喜   | 安西   | 昂西   | 艾西   | 暗喜   | 暗系   | 
axia | 阿霞   | 阿夏   | 阿虾   | 爱惜啊   | 按下   | 爱夏   | 鳌虾   | 爱霞   | 暗下   | 安夏   | 安下   | 暗匣   | 錒下  | axial   | 錒下  | 啊下  | 
axian | A线   | 阿贤   | 阿羡   | 阿先   | 阿现   | 凹陷   | 安县   | 暗线   | 爱现   | 岸线   | 安闲   | 氨酰   | 錒先  | 錒先  | 啊先  | 啊先  | 
axiang | 阿香   | 阿翔   | 阿祥   | 阿湘   | 翱翔   | 安详   | 暗香   | 暗箱   | 爱香   | 安乡   | 安享   | 奥翔   | 暗想   | 俺想   | 敖翔   | 安翔   | 
axiao | 阿晓   | 阿消   | 阿小   | 阿肖   | 阿笑   | 阿潇   | 爱笑   | 矮小   | 暗笑   | 爱校   | 安晓   | 挨削   | 爱小   | 啊下哦  | 錒下哦  | 錒小  | 
axie | 安歇   | 爱写   | 奥谢   | 暗血   | 傲血   | 阿谢   | 錒写  | 錒写  | 啊写  | 啊写  | 按写  | 按写  | 爱写  | 哎写  | 哎写  | 安歇  | 
axin | 阿信   | 阿欣   | 阿鑫   | ❥(^_-)   | 阿新   | 阿昕   | 安心   | 爱心   | 爱信   | 澳新   | 安新   | 安鑫   | 熬心   | 安欣   | 奥新   | 艾欣   | 
axing | 阿星   | 阿兴   | A型   | 阿杏   | 安兴   | 奥星   | 矮星   | 暗星   | 安行   | 爱行   | 昂星   | 安星   | 澳星   | 熬兴   | 拗性   | 敖兴   | 
axiong | 阿雄   | 阿兄   | 挨熊   | 錒熊  | 錒熊  | 啊熊  | 啊熊  | 按熊  | 按熊  | 爱熊  | 爱熊  | 哎熊  | 哎熊  | 安熊  | 安熊  | 阿雄  | 
axiu | 阿秀   | 安秀   | 爱秀   | 氨溴   | 奥修   | 錒修  | 錒修  | 啊修  | 啊修  | 按修  | 按修  | 爱秀  | 哎修  | 哎修  | 安秀  | 阿秀  | 
axu | 阿旭   | 阿虚   | 阿絮   | 按需   | 安旭   | 敖胥   | 艾许   | 錒许  | 錒许  | 啊许  | 啊许  | 按需  | 爱许  | 爱许  | 哎许  | 哎许  | 
axuan | 阿轩   | 安选   | 敖宣   | 啊许按  | 啊许按  | 錒许按  | 錒许按  | 錒选  | 錒选  | 啊选  | 啊选  | 按选  | 按选  | 爱选  | 爱选  | 哎选  | 
axue | 阿雪   | 傲雪   | 爱学   | 暗血   | 傲血   | 艾雪   | 安雪   | 澳雪   | 爱雪   | 矮靴   | 敖雪   | 啊许额  | 啊许额  | 錒许额  | 錒许额  | 錒学  | 
axun | 挨训   | 安迅   | 安讯   | 安勋   | 錒寻  | 錒寻  | 啊寻  | 啊寻  | 按寻  | 按寻  | 爱寻  | 爱寻  | 哎寻  | 哎寻  | 安迅  | 阿寻  | 
aya | 啊呀   | 熬一熬   | 阿雅   | 吖吖   | 按一按   | 爱乐爱   | 阿亚   | ayawawa   | 哎呀   | 按压   | 奥雅   | 爱呀   | 安雅   | 爱牙   | 奥亚   | 暗鸦   | 
ayan | 阿燕   | 阿炎   | 阿颜   | 碍眼   | 铵盐   | 爱眼   | 安颜   | 安燕   | 安岩   | 爱演   | 哀艳   | 按验   | 案验   | 暗演   | 暗炎   | 錒眼  | 
ayang | 阿阳   | 阿杨   | 阿泱   | 阿扬   | 安阳   | 昂扬   | 澳洋   | 按样   | 艾洋   | 安洋   | 艾阳   | 爱漾   | 錒样  | 錒样  | 啊样  | 啊样  | 
ayao | 阿瑶   | 阿耀   | 阿尧   | 阿垚   | 爱要   | 熬药   | 俺要   | 挨咬   | 錒要  | 錒要  | 啊要  | 啊要  | 按要  | 按要  | 爱要  | 哎要  | 
aye | aye   | 阿爷   | 阿耶   | 阿夜   | 阿也   | 安艺恩   | 熬夜   | 暗夜   | 艾叶   | 俺也   | 安业   | 俺爷   | 奥耶   | 爱液   | 安叶   | 庵野   | 
ayi | 阿姨   | 阿依   | 阿怡   | 阿一   | 阿义   | 阿易   | 阿伊   | 安逸   | 爱意   | 奥义   | 安义   | 安医   | 俺姨   | 安怡   | 昂一   | 暗裔   | 
ayin | 阿银   | 阿音   | 艾因   | 安隐   | 爱音   | 傲因   | 暗瘾   | 凹音   | 錒因  | 錒因  | 啊因  | 啊因  | 按因  | 按因  | 爱音  | 哎因  | 
